iter	Passed	Remaining
772	4118	1209
773	4123	1204
774	4129	1198
775	4134	1193
776	4139	1188
777	4144	1182
778	4150	1177
779	4155	1172
780	4161	1166
781	4166	1161
782	4172	1156
783	4177	1150
784	4182	1145
785	4188	1140
786	4193	1134
787	4198	1129
788	4204	1124
789	4209	1118
790	4214	1113
791	4220	1108
792	4225	1103
793	4230	1097
794	4236	1092
795	4241	1086
796	4246	1081
797	4252	1076
798	4257	1071
799	4262	1065
800	4268	1060
801	4273	1055
802	4278	1049
803	4284	1044
804	4289	1039
805	4294	1033
806	4300	1028
807	4305	1023
808	4310	1017
809	4316	1012
810	4321	1007
811	4326	1001
812	4331	996
813	4337	991
814	4342	985
815	4347	980
816	4353	975
817	4358	969
818	4364	964
819	4369	959
820	4374	953
821	4380	948
822	4385	943
823	4390	937
824	4396	932
825	4401	927
826	4406	921
827	4411	916
828	4417	911
829	4422	905
830	4428	900
831	4433	895
832	4438	889
833	4444	884
834	4449	879
835	4454	873
836	4460	868
837	4465	863
838	4470	857
839	4476	852
840	4481	847
841	4486	841
842	4492	836
843	4497	831
844	4503	826
845	4508	820
846	4513	815
847	4519	810
848	4524	804
849	4529	799
850	4535	794
851	4540	788
852	4546	783
853	4551	778
854	4557	772
855	4562	767
856	4567	762
857	4573	756
858	4578	751
859	4583	746
860	4589	740
861	4594	735
862	4600	730
863	4605	724
864	4610	719
865	4616	714
866	4621	708
867	4626	703
868	4632	698
869	4637	692
870	4642	687
871	4648	682
872	4653	676
873	4658	671
874	4664	666
875	4669	660
876	4674	655
877	4680	650
878	4685	644
879	4690	639
880	4696	634
881	4701	629
882	4707	623
883	4712	618
884	4718	613
885	4723	607
886	4728	602
887	4734	597
888	4739	591
889	4744	586
890	4750	581
891	4755	575
892	4761	570
893	4766	565
894	4771	559
895	4777	554
896	4782	549
897	4788	543
898	4793	538
899	4798	533
900	4804	527
901	4809	522
902	4815	517
903	4820	511
904	4825	506
905	4831	501
906	4836	495
907	4841	490
908	4847	485
909	4852	479
910	4857	474
911	4863	469
912	4868	463
913	4873	458
914	4879	453
915	4884	447
916	4890	442
917	4895	437
918	4900	431
919	4906	426
920	4911	421
921	4916	415
922	4921	410
923	4927	405
924	4932	399
925	4938	394
926	4943	389
927	4949	383
928	4954	378
929	4959	373
930	4965	367
931	4970	362
932	4975	357
933	4981	351
934	4986	346
935	4991	341
936	4997	336
937	5002	330
938	5008	325
939	5013	320
940	5019	314
941	5024	309
942	5029	304
943	5035	298
944	5040	293
945	5046	288
946	5051	282
947	5056	277
948	5062	272
949	5067	266
950	5073	261
951	5078	256
952	5083	250
953	5089	245
954	5094	240
955	5100	234
956	5105	229
957	5110	224
958	5116	218
959	5121	213
960	5126	208
961	5132	202
962	5137	197
963	5143	192
964	5148	186
965	5154	181
966	5159	176
967	5164	170
968	5170	165
969	5175	160
970	5180	154
971	5186	149
972	5191	144
973	5197	138
974	5202	133
975	5207	128
976	5213	122
977	5218	117
978	5223	112
979	5229	106
980	5234	101
981	5240	96
982	5245	90
983	5250	85
984	5256	80
985	5261	74
986	5266	69
987	5272	64
988	5277	58
989	5282	53
990	5288	48
991	5293	42
992	5298	37
993	5304	32
994	5309	26
995	5314	21
996	5320	16
997	5325	10
998	5330	5
999	5336	0
